"subject" "session" "orLarge" "orSmall" "task" "rt" "response" "vertical"
"283" 1 1 "Top" 1.5 "equ" 0.764413209133 1 TRUE
"284" 1 1 "Right" 2 "comp" 0.823189459002 1 FALSE
"285" 1 1 "Left" 0.5 "equ" 0.893895124325 1 FALSE
"286" 1 1 "Right" -2 "comp" 0.729142399827 0 FALSE
"287" 1 1 "Right" -1 "equ" 1.07019052799 0 FALSE
"288" 1 1 "Bottom" -1 "equ" 0.834940646137 0 TRUE
"289" 1 1 "Bottom" -2 "comp" 1.04656665183 0 TRUE
"290" 1 1 "Bottom" 0 "equ" 0.682065210101 1 TRUE
"291" 1 1 "Bottom" 2 "equ" 1.21131056074 0 TRUE
"292" 1 1 "Top" 0.5 "comp" 0.964361618742 1 TRUE
"293" 1 1 "Bottom" 0 "comp" 1.04665097491 1 TRUE
"294" 1 1 "Right" 0.5 "equ" 1.05843665785 1 FALSE
"295" 1 1 "Bottom" 0.5 "equ" 0.646806665969 1 TRUE
"296" 1 1 "Top" 0 "comp" 0.893795853068 0 TRUE
"297" 1 1 "Top" -1 "equ" 1.4700586007 0 TRUE
"298" 1 1 "Bottom" 0.5 "equ" 1.48178142462 1 TRUE
"299" 1 1 "Left" 1.5 "equ" 1.68175934731 1 FALSE
"300" 1 1 "Bottom" -2 "comp" 0.717385463392 0 TRUE
"301" 1 1 "Bottom" 1.5 "comp" 0.705617411642 1 TRUE
"302" 1 1 "Top" -1 "comp" 0.811467018371 0 TRUE
"303" 1 1 "Top" -2 "comp" 0.682092423457 0 TRUE
"304" 1 1 "Left" -1 "comp" 0.929045581605 0 FALSE
"305" 1 1 "Top" 2 "equ" 1.07021505834 0 TRUE
"306" 1 1 "Right" 0.5 "comp" 1.19949843102 0 FALSE
"307" 1 1 "Right" -1.5 "equ" 0.882049265374 0 FALSE
"308" 1 1 "Right" -1.5 "comp" 1.39950203391 0 FALSE
"309" 1 1 "Bottom" 1 "equ" 0.987857860425 1 TRUE
"310" 1 1 "Right" 2 "equ" 1.19955132458 1 FALSE
"311" 1 1 "Left" 1 "equ" 1.68173635011 0 FALSE
"312" 1 1 "Left" 0.5 "equ" 0.917264498107 1 FALSE
"313" 1 1 "Bottom" -2 "comp" 1.85812872531 0 TRUE
"314" 1 1 "Right" -0.5 "equ" 0.893988262995 1 FALSE
"315" 1 1 "Right" 0.5 "equ" 0.870257833134 1 FALSE
"316" 1 1 "Top" -1.5 "comp" 0.870257066561 0 TRUE
"317" 1 1 "Left" -1.5 "equ" 0.976133886646 0 FALSE
"318" 1 1 "Bottom" 1 "comp" 0.870238668799 1 TRUE
"319" 1 1 "Bottom" -0.5 "comp" 1.19952257808 0 TRUE
"320" 1 1 "Top" -1.5 "comp" 0.999623612454 0 TRUE
"321" 1 1 "Right" 0.5 "equ" 1.12897636003 1 FALSE
"322" 1 1 "Right" -1.5 "comp" 0.834981657815 0 FALSE
"323" 1 1 "Right" -2 "comp" 0.717414593182 0 FALSE
"324" 1 1 "Right" 1.5 "comp" 0.799730396131 1 FALSE
"325" 1 1 "Left" 1.5 "comp" 0.74090891843 1 FALSE
"326" 1 1 "Right" 2 "comp" 0.846710231034 1 FALSE
"327" 1 1 "Top" -1 "equ" 0.964317540771 1 TRUE
"328" 1 1 "Bottom" 2 "equ" 1.76402953914 0 TRUE
"329" 1 1 "Top" -1.5 "comp" 0.740870973046 0 TRUE
"330" 1 1 "Bottom" -1 "comp" 0.764420108294 0 TRUE
"331" 1 1 "Top" 1.5 "comp" 0.776167462561 1 TRUE
"332" 1 1 "Bottom" 0 "comp" 0.964348203708 0 TRUE
"333" 1 1 "Top" -1.5 "equ" 1.79921564208 0 TRUE
"334" 1 1 "Right" 1 "comp" 3.2222940246 1 FALSE
"335" 1 1 "Right" -1 "equ" 0.91725721566 0 FALSE
"336" 1 1 "Left" -0.5 "equ" 0.752662788572 0 FALSE
"337" 1 1 "Right" 0.5 "comp" 1.05846655421 0 FALSE
"338" 1 1 "Top" 0.5 "comp" 0.893818466983 1 TRUE
"339" 1 1 "Top" 0 "comp" 1.8111316425 0 TRUE
"340" 1 1 "Left" 1 "comp" 1.19955132458 1 FALSE
"341" 1 1 "Left" 1.5 "comp" 0.846760058306 1 FALSE
"342" 1 1 "Bottom" -0.5 "equ" 1.36418484691 1 TRUE
"343" 1 1 "Right" -2 "equ" 0.834980891241 0 FALSE
"344" 1 1 "Right" -1 "comp" 0.999646609657 0 FALSE
"345" 1 1 "Bottom" -2 "equ" 1.41125360433 0 TRUE
"346" 1 1 "Left" -2 "comp" 1.19952411123 0 FALSE
"347" 1 1 "Bottom" -1.5 "comp" 0.799684785013 0 TRUE
"348" 1 1 "Right" -1 "comp" 0.858502046559 0 FALSE
"349" 1 1 "Left" 0 "equ" 1.72879207578 1 FALSE
"350" 1 1 "Top" 0 "comp" 1.0466571075 1 TRUE
"351" 1 1 "Top" 1.5 "comp" 0.658573567859 1 TRUE
"352" 1 1 "Top" 1 "comp" 0.682100472477 1 TRUE
"353" 1 1 "Top" 0 "comp" 1.71699911039 1 TRUE
"354" 1 1 "Bottom" -2 "comp" 0.729126301785 0 TRUE
"355" 1 1 "Left" 2 "comp" 0.752736379619 1 FALSE
"356" 1 1 "Right" 1 "comp" 1.3406778732 1 FALSE
"357" 1 1 "Top" -0.5 "comp" 0.552735459731 1 TRUE
"358" 1 1 "Left" 0.5 "comp" 1.08196471233 1 FALSE
"359" 1 1 "Left" 1 "equ" 0.79972464683 1 FALSE
"360" 1 1 "Left" -2 "comp" 2.84597662028 0 FALSE
